N°,id,status,all_images,aired_episodes,seen_episodes,up_to_date,runtime,name
120,251085,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/251085/1032574-0-optimized.jpg,52,0,False,22,The Legend of Korra
124,252471,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/252471/891723-0-optimized.jpg,22,0,False,25,Guilty Crown
125,253323,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/253323/1045753-0-optimized.jpg,180,0,False,25,LEGO Ninjago
126,253463,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/253463/1158937-0-optimized.jpg,21,6,False,60,Black Mirror
127,254349,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/254349/934790-0-optimized.jpg,12,0,False,25,Another
128,254658,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/254658/62271774-0-optimized.jpg,10,0,False,25,Kyousougiga
129,254661,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/254661/925039-0-optimized.jpg,12,0,False,25,Daily Lives of High School Boys
130,254665,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/254665/891323-0-optimized.jpg,12,0,False,25,Brave 10
131,255133,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/255133/1283531-0-optimized.jpg,12,0,False,25,Inu × Boku Secret Service
132,257518,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/257518/1050882-0-optimized.jpg,12,0,False,25,Sankarea: Undying Love
133,257763,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/257763/1186160-0-optimized.jpg,12,0,False,25,Tsuritama
134,257765,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/257765/62520674-0-optimized.jpg,75,0,False,25,Kuroko's Basketball
135,259635,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/259635/915265-0-optimized.jpg,103,0,False,25,Kingdom (2012)
136,259640,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/259640/62518902-0-optimized.jpg,96,36,False,25,Sword Art Online
137,259649,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/259649/1169158-0-optimized.jpg,12,0,False,25,Aesthetica of a Rogue Hero
138,261202,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/261202/1034053-0-optimized.jpg,118,0,False,25,Dragons
139,261249,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/261249/1093220-0-optimized.jpg,26,0,False,25,K
140,261862,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/261862/62430472-0-optimized.jpg,24,0,False,25,"Love, Chunibyo & Other Delusions!"
141,262090,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/262090/955066-0-optimized.jpg,41,0,False,25,Psycho-Pass
143,262107,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/262107/1364273-0-optimized.jpg,13,0,False,25,My Little Monster
144,262109,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/262109/924778-0-optimized.jpg,24,0,False,25,Blast of Tempest
145,262114,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/262114/925462-0-optimized.jpg,24,0,False,25,The Pet Girl of Sakurasou
147,262954,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/262954/1005222-0-optimized.jpg,164,0,False,25,JoJo's Bizarre Adventure (2012)
148,263999,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/263999/62426953-0-optimized.jpg,106,79,False,20,RWBY
149,264528,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/264528/1019764-0-optimized.jpg,12,0,False,25,Unlimited Psychic Squad
150,264533,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/264533/1069779-0-optimized.jpg,26,0,False,25,Love Live!
151,267439,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/267439/950345-0-optimized.jpg,26,0,False,25,Mushibugyou
153,267441,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/267441/62633071-0-optimized.jpg,13,0,False,24,The Devil Is a Part-Timer!
154,267996,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/267996/948992-0-optimized.jpg,12,0,False,21,Yu-Gi-Oh! Capsule Monsters
155,270065,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/270065/1081204-0-optimized.jpg,37,0,False,25,Free!
156,270066,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/270066/958505-0-optimized.jpg,12,0,False,25,Devils and Realist
157,272074,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/272074/981341-0-optimized.jpg,24,0,False,25,Kill la Kill
160,272137,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/272137/1088504-0-optimized.jpg,12,0,False,25,Wanna Be the Strongest in the World
161,272309,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/272309/979122-0-optimized.jpg,112,0,False,25,Yowamushi Pedal
162,272697,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/272697/981505-0-optimized.jpg,12,0,False,25,Beyond the Boundary
163,272849,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/272849/982081-0-optimized.jpg,26,0,False,25,Space Dandy
164,273005,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/273005/1260749-0-optimized.jpg,178,0,False,25,Ace of Diamond
165,273616,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/273616/1132556-0-optimized.jpg,4,0,False,25,Pokémon: Origins
166,275610,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/275610/62632927-0-optimized.jpg,25,0,False,24,Noragami
167,275670,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/275670/62249363-0-optimized.jpg,32,0,False,25,Nisekoi
169,276890,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/276890/1132124-0-optimized.jpg,13,0,False,25,Black Bullet
170,278126,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/278126/1104085-0-optimized.jpg,12,0,False,25,Riddle Story of Devil
171,278127,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/278127/62514846-0-optimized.jpg,22,0,False,25,Chaika the Coffin Princess
173,278157,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/278157/1262732-0-optimized.jpg,85,73,False,24,Haikyu!!
174,278329,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/278329/62062043-0-optimized.jpg,39,0,False,24,The Irregular at Magic High School
176,279827,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/279827/1006010-0-optimized.jpg,24,0,False,25,Aldnoah.Zero
177,279828,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/279828/1035901-0-optimized.jpg,26,0,False,25,Terra Formars
179,279831,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/279831/1067405-0-optimized.jpg,24,0,False,23,Parasyte -the maxim-
180,279986,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/279986/1111285-0-optimized.jpg,11,0,False,25,Terror in Resonance
181,280329,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/280329/62624680-0-optimized.jpg,24,0,False,25,Akame ga Kill!
182,280330,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/280330/1186027-0-optimized.jpg,13,0,False,24,Amagi Brilliant Park
184,281643,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/281643/1061482-0-optimized.jpg,10,0,False,11,Over the Garden Wall
185,281949,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/281949/1220883-0-optimized.jpg,23,0,False,25,The Fruit of Grisaia
186,283611,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/283611/1066078-0-optimized.jpg,26,0,False,15,Ninja Slayer From Animation
187,283679,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/283679/1024609-0-optimized.jpg,28,0,False,120,Jamy's World
188,283934,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/283934/1038370-0-optimized.jpg,99,0,False,25,World Trigger
